secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-09-17,1.4946678927331429e-06,0.019407635326560316,-14.357138234816208,-12.14569330681513,-11.539161126572113,-13.413606521128553,garman_klass,True
GLDRUB_TOM,2018-09-18,1.8835708624980413e-05,0.06889556279975557,-13.413606521128553,-12.722539358671536,-11.66659243655228,-10.879756094752283,garman_klass,True
GLDRUB_TOM,2018-09-19,9.34333805286031e-06,0.04852340867376073,-10.879756094752283,-12.588341694280373,-11.68650996951007,-11.580846976333412,garman_klass,True
GLDRUB_TOM,2018-09-20,2.4069889987548576e-05,0.07788204078516588,-11.580846976333412,-12.466196442314407,-11.683923106068185,-10.634548876701194,garman_klass,True
GLDRUB_TOM,2018-09-21,1.2514190568944233e-05,0.05615670951341386,-10.634548876701194,-12.17317934074633,-11.610115998749759,-11.28864731204439,garman_klass,True
GLDRUB_TOM,2018-09-24,1.566762744553738e-05,0.06283503892157162,-11.28864731204439,-11.559481156191966,-11.686478619491437,-11.06391392049181,garman_klass,True
GLDRUB_TOM,2018-09-25,1.2791508332997855e-06,0.017953997047775904,-11.06391392049181,-11.089542636064618,-11.780285028655241,-13.569314111672064,garman_klass,True
GLDRUB_TOM,2018-09-26,3.995676770330598e-06,0.031731853808488884,-13.569314111672064,-11.627454239448575,-11.880622993780234,-12.43029758875526,garman_klass,True
GLDRUB_TOM,2018-09-27,2.323506719821313e-05,0.07651951995373278,-12.43029758875526,-11.797344361932945,-11.882547515648564,-10.66984790331991,garman_klass,True
GLDRUB_TOM,2018-09-28,9.215809819442088e-06,0.04819112028682676,-10.66984790331991,-11.804404167256687,-11.762329600781396,-11.594590090134894,garman_klass,True
GLDRUB_TOM,2018-10-01,5.003389295969275e-06,0.035508507467707756,-11.594590090134894,-11.865592722874789,-11.76515601069241,-12.205395015979091,garman_klass,True
GLDRUB_TOM,2018-10-02,2.397390750790538e-05,0.07772660221566459,-12.205395015979091,-12.093888941972242,-11.75152656763908,-10.638544506203603,garman_klass,True
GLDRUB_TOM,2018-10-03,6.5361831412710005e-06,0.0405847034189027,-10.638544506203603,-11.50773502087855,-11.765936775033106,-11.938157180408837,garman_klass,True
GLDRUB_TOM,2018-10-04,3.0404705278616e-05,0.08753276946499083,-11.938157180408837,-11.409306939209268,-11.768809799057209,-10.400913182627274,garman_klass,True
GLDRUB_TOM,2018-10-05,1.1038125082502898e-05,0.05274094728757467,-10.400913182627274,-11.35551999507074,-11.702911763191544,-11.414155361021418,garman_klass,True
GLDRUB_TOM,2018-10-08,7.648493477771252e-06,0.04390239579337733,-11.414155361021418,-11.319433049248044,-11.582664716622368,-11.781001860529582,garman_klass,True
GLDRUB_TOM,2018-10-09,1.0873461843327183e-05,0.05234608280013367,-11.781001860529582,-11.234554418158144,-11.668607648960194,-11.429185430687115,garman_klass,True
GLDRUB_TOM,2018-10-12,6.258625086277375e-06,0.03971364402496828,-9.598395124759705,-11.055684444249454,-11.675212519670069,-11.98155003175549,garman_klass,True
GLDRUB_TOM,2018-10-15,4.5085430596601634e-07,0.01065904710109849,-11.98155003175549,-11.197533111932973,-11.665211414698271,-14.612121596273083,garman_klass,True
GLDRUB_TOM,2018-10-16,3.6031948117118613e-06,0.030133122847647055,-14.612121596273083,-11.905313045868848,-11.78485366287596,-12.53368965835336,garman_klass,True
GLDRUB_TOM,2018-10-17,1.0503938507470317e-05,0.051448931027597844,-12.53368965835336,-12.18143910278541,-11.698022778282493,-11.46376027518214,garman_klass,True
